Tempo (ms),Measure (V),sinalcontrole (V)
200.0,0.01,0.0
400.0,0.02,0.0
600.0,0.02,0.0
800.0,0.03,0.0
1000.0,0.04,0.0
1200.0,0.05,0.0
1400.0,0.05,0.0
1600.0,0.06,0.0
1800.0,0.07,0.0
2000.0,0.08,0.0
2200.0,0.08,0.0
2400.0,0.08,0.0
2600.0,0.08,0.0
2800.0,0.08,0.0
3000.0,0.08,0.0
3200.0,0.08,0.0
3400.0,0.08,0.0
3600.0,0.08,0.0
3800.0,0.08,0.0
4000.0,0.08,0.0
4200.0,0.08,0.0
4400.0,0.08,0.0
4600.0,0.08,0.0
4800.0,0.07,0.0
5000.0,0.08,0.0
5200.0,0.08,0.0
5400.0,0.08,0.0
5600.0,0.08,0.0
5800.0,0.08,0.0
6000.0,0.08,0.0
6200.0,0.08,0.0
6400.0,0.08,0.0
6600.0,0.08,0.0
6800.0,0.08,0.0
7000.0,0.08,0.0
7200.0,0.08,0.0
7400.0,0.08,0.0
7600.0,0.08,0.0
7800.0,0.08,0.0
8000.0,0.08,0.0
8200.0,0.08,0.0
8400.0,0.08,0.0
8600.0,0.08,0.0
8800.0,0.08,0.0
9000.0,0.08,0.0
9200.0,0.08,0.0
9400.0,0.08,0.0
9600.0,0.08,0.0
9800.0,0.08,0.0
10000.0,0.08,4.5
10200.0,0.08,4.5
10400.0,0.09,4.5
10600.0,0.1,4.5
10800.0,0.11,4.5
11000.0,0.13,4.5
11200.0,0.15,4.5
11400.0,0.17,4.5
11600.0,0.2,4.5
11800.0,0.22,4.5
12000.0,0.25,4.5
12200.0,0.27,4.5
12400.0,0.3,4.5
12600.0,0.32,4.5
12800.0,0.34,4.5
13000.0,0.35,4.5
13200.0,0.37,4.5
13400.0,0.38,4.5
13600.0,0.39,4.5
13800.0,0.4,4.5
14000.0,0.41,4.5
14200.0,0.42,4.5
14400.0,0.43,4.5
14600.0,0.44,4.5
14800.0,0.45,4.5
15000.0,0.46,4.5
15200.0,0.47,4.5
15400.0,0.47,4.5
15600.0,0.48,4.5
15800.0,0.49,4.5
16000.0,0.49,4.5
16200.0,0.5,4.5
16400.0,0.5,4.5
16600.0,0.51,4.5
16800.0,0.51,4.5
17000.0,0.52,4.5
17200.0,0.52,4.5
17400.0,0.52,4.5
17600.0,0.53,4.5
17800.0,0.53,4.5
18000.0,0.54,4.5
18200.0,0.54,4.5
18400.0,0.54,4.5
18600.0,0.55,4.5
18800.0,0.55,4.5
19000.0,0.55,4.5
19200.0,0.56,4.5
19400.0,0.56,4.5
19600.0,0.56,4.5
19800.0,0.56,4.5
20000.0,0.56,4.5
20200.0,0.57,4.5
20400.0,0.57,4.5
20600.0,0.57,4.5
20800.0,0.57,4.5
21000.0,0.57,4.5
21200.0,0.57,4.5
21400.0,0.58,4.5
21600.0,0.58,4.5
21800.0,0.58,4.5
22000.0,0.58,4.5
22200.0,0.58,4.5
22400.0,0.58,4.5
22600.0,0.58,4.5
22800.0,0.59,4.5
23000.0,0.59,4.5
23200.0,0.59,4.5
23400.0,0.59,4.5
23600.0,0.59,4.5
23800.0,0.59,4.5
24000.0,0.59,4.5
24200.0,0.59,4.5
24400.0,0.59,4.5
24600.0,0.6,4.5
24800.0,0.6,4.5
25000.0,0.6,4.5
25200.0,0.6,4.5
25400.0,0.6,4.5
25600.0,0.6,4.5
25800.0,0.6,4.5
26000.0,0.6,4.5
26200.0,0.6,4.5
26400.0,0.61,4.5
26600.0,0.61,4.5
26800.0,0.61,4.5
27000.0,0.61,4.5
27200.0,0.61,4.5
27400.0,0.61,4.5
27600.0,0.61,4.5
27800.0,0.61,4.5
28000.0,0.61,4.5
28200.0,0.61,4.5
28400.0,0.61,4.5
28600.0,0.61,4.5
28800.0,0.61,4.5
29000.0,0.61,4.5
29200.0,0.61,4.5
29400.0,0.61,4.5
29600.0,0.61,4.5
29800.0,0.61,4.5
30000.0,0.61,4.5
30200.0,0.61,4.5
30400.0,0.61,4.5
30600.0,0.62,4.5
30800.0,0.62,4.5
31000.0,0.62,4.5
31200.0,0.62,4.5
31400.0,0.62,4.5
31600.0,0.62,4.5
31800.0,0.62,4.5
32000.0,0.62,4.5
32200.0,0.62,4.5
32400.0,0.62,4.5
32600.0,0.62,4.5
32800.0,0.62,4.5
33000.0,0.62,4.5
33200.0,0.62,4.5
33400.0,0.62,4.5
33600.0,0.62,4.5
33800.0,0.62,4.5
34000.0,0.62,4.5
34200.0,0.62,4.5
34400.0,0.62,4.5
34600.0,0.62,4.5
34800.0,0.62,4.5
35000.0,0.62,4.5
35200.0,0.62,4.5
35400.0,0.62,4.5
35600.0,0.62,4.5
35800.0,0.62,4.5
36000.0,0.62,4.5
36200.0,0.62,4.5
36400.0,0.62,4.5
36600.0,0.62,4.5
36800.0,0.62,4.5
37000.0,0.62,4.5
37200.0,0.62,4.5
37400.0,0.63,4.5
37600.0,0.62,4.5
37800.0,0.62,4.5
38000.0,0.63,4.5
38200.0,0.63,4.5
38400.0,0.62,4.5
38600.0,0.62,4.5
38800.0,0.63,4.5
39000.0,0.62,4.5
39200.0,0.62,4.5
39400.0,0.62,4.5
39600.0,0.63,4.5
39800.0,0.63,4.5
40000.0,0.63,4.5
40200.0,0.63,4.5
40400.0,0.63,4.5
40600.0,0.63,4.5
40800.0,0.63,4.5
41000.0,0.63,4.5
41200.0,0.63,4.5
41400.0,0.63,4.5
